City Name,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temperature,Wind Speed
Teya,75,MX,1545270360,88,21.05,-89.07,73.4,5.82
Yataity,48,PY,1545272999,92,-26.37,-56.07,73.31,2.51
Rio Cuarto,40,AR,1545271200,83,-33.13,-64.35,71.6,4.7
Kalmunai,92,LK,1545273002,100,7.42,81.82,73.89,4.74
Hambantota,75,LK,1545268200,100,6.12,81.12,75.2,1.12
Kokstad,88,ZA,1545272780,96,-30.55,29.42,56.43,2.06
Acapulco,75,MX,1545270240,69,16.86,-99.88,82.4,5.82
Khash,0,IR,1545273009,61,28.22,61.21,22.46,2.73
Bayir,0,TR,1545270600,80,37.27,28.22,41,4.7
Quimperle,92,FR,1545271200,81,47.87,-3.55,48.2,11.41
Nortelandia,88,BR,1545273014,90,-14.45,-56.8,76.23,2.62
George,40,NG,1545271200,94,6.63,3.35,78.8,3.96
Severo-Kurilsk,36,RU,1545273017,100,50.68,156.12,26.33,7.54
Dikson,0,RU,1545273018,91,73.51,80.55,-6.8,7.2
Bohicon,0,BJ,1545273020,95,7.18,2.07,70.88,6.42
Aklavik,90,CA,1545271200,77,68.22,-135.01,3.2,4.7
Bay Saint Louis,90,US,1545272460,100,30.31,-89.33,62.06,5.82
Dhone,24,IN,1545273024,87,15.4,77.87,66.83,4.41
Lazaro Cardenas,5,MX,1545270060,31,28.39,-105.62,50,9.89
Klaksvik,80,FO,1545270600,93,62.23,-6.59,44.6,10.29
Petauke,12,ZM,1545273028,94,-14.25,31.33,64.44,2.62
Chute-aux-Outardes,1,CA,1545271200,78,49.12,-68.38,19.4,5.82
Muisne,68,EC,1545273031,96,0.61,-80.02,71.82,2.62
Atambua,0,ID,1545273033,88,-9.11,124.89,85.46,8.32
Semme,92,FR,1545271200,100,46.2,1.5,41,13.87
Sardinata,20,CO,1545271200,74,8.08,-72.8,78.8,4.7
Miandrivazo,24,MG,1545273037,81,-19.53,45.46,74.03,2.84
Moshupa,0,BW,1545271200,13,-24.78,25.42,84.2,9.17
Usinsk,80,RU,1545273040,84,66,57.56,16.29,10.78
Tiarei,75,PF,1545271200,74,-17.53,-149.33,82.4,6.93
Chiredzi,0,ZW,1545273043,83,-21.05,31.67,77.18,7.43
Bredasdorp,64,ZA,1545267600,87,-34.53,20.04,59,3.36
Port Blair,80,IN,1545272928,100,11.67,92.75,80.33,10.45
Champerico,5,MX,1545270480,57,16.38,-93.6,75.2,4.7
Port Macquarie,0,AU,1545271200,69,-31.43,152.91,82.4,8.05
Carauari,48,BR,1545273050,95,-4.88,-66.9,73.94,2.73
Umba,64,RU,1545273051,95,66.69,34.34,16.2,5.19
Cabedelo,20,BR,1545271200,83,-6.97,-34.84,75.2,5.82
Pychas,48,RU,1545273054,69,56.5,52.44,-1.17,3.06
Skalat,64,UA,1545273057,88,49.42,25.98,14.31,11.34
Touros,20,BR,1545271200,88,-5.2,-35.46,75.2,4.7
Dauphin,90,CA,1545271200,92,51.15,-100.04,23,14.99
Sorong,44,ID,1545273061,100,-0.86,131.25,80.69,9.33
Kidal,0,ML,1545273062,70,18.44,1.41,51.75,6.64
Abha,0,SA,1545267600,62,18.22,42.5,51.8,5.82
Hondo,1,US,1545270960,63,29.35,-99.14,60.98,5.82
Mahajanga,20,MG,1545271200,78,-15.72,46.32,77,2.24
Vaitape,12,PF,1545273068,100,-16.52,-151.75,84.06,4.18
Itarema,12,BR,1545273069,93,-2.92,-39.92,76.23,9.44
Saint-Pierre,90,FR,1545271200,87,48.95,4.24,44.6,12.75
Nouadhibou,0,MR,1545271200,37,20.93,-17.03,68,14.99
Arkhara,0,RU,1545273075,48,49.42,130.09,2.25,3.62
Santa Vitoria do Palmar,92,BR,1545272975,96,-33.52,-53.37,66.74,8.88
Erenhot,76,CN,1545273078,70,43.65,111.97,18.9,5.97
Walvis Bay,0,NA,1545271200,93,-22.95,14.51,57.2,8.05
Kelme,90,LT,1545270600,92,55.63,22.93,23,16.11
Gombong,92,ID,1545273083,90,-7.19,109.31,75.87,2.84
Bonthe,0,SL,1545273084,72,7.53,-12.5,82.49,4.97
Ushtobe,76,KZ,1545273085,83,45.25,77.98,16.74,4.85
Pangody,36,RU,1545273087,62,65.85,74.49,-7.38,8.99
Ishigaki,20,JP,1545271200,61,24.34,124.16,77,3.36
Akdepe,75,TM,1545271200,85,42.05,59.39,21.2,11.41
Conceicao do Araguaia,8,BR,1545273014,89,-8.26,-49.26,76.32,2.84
Esil,0,KZ,1545273092,71,51.96,66.41,1.35,6.08
Westport,92,IE,1545273094,96,53.8,-9.52,46.98,16.93
Bundibugyo,0,UG,1545273095,88,0.71,30.06,55.71,1.05
Berlevag,0,NO,1545273097,100,70.86,29.09,7.56,6.31
Roald,32,NO,1545270600,52,62.58,6.12,44.6,11.41
Iquitos,75,PE,1545271200,94,-3.75,-73.25,75.2,3.36
Codrington,0,AU,1545271200,49,-28.95,153.24,95,8.05
Karratha,0,AU,1545273104,46,-20.74,116.85,88.11,8.99
Henties Bay,0,NA,1545273105,100,-22.12,14.28,58.68,1.28
Medina,0,SA,1545271200,35,24.47,39.61,69.8,6.93
San Cristobal,75,EC,1545271200,100,-0.39,-78.55,57.2,2.24
Auki,0,NG,1545273110,44,12.18,6.51,57.74,9.33
Ilhabela,8,BR,1545273024,99,-23.78,-45.36,78.57,10.45
Nuuk,92,GL,1545273114,100,64.17,-51.74,26.91,2.62
Camacupa,64,AO,1545273115,84,-12.02,17.48,62.19,1.72
Nikolayevsk-na-amure,80,RU,1545273118,80,53.14,140.72,19.49,20.29
Cedar City,8,US,1545270780,66,37.68,-113.06,37.04,5.82
Torbay,90,CA,1545271200,73,47.66,-52.73,26.6,31.09
Nehe,0,CN,1545273122,63,48.48,124.88,13.64,3.96
Ponta do Sol,32,BR,1545273123,96,-20.63,-46,70.16,3.29
Ust-Tsilma,56,RU,1545273125,82,65.44,52.15,10.31,5.08
Amatitan,5,MX,1545270060,30,20.83,-103.72,59,4.7
Marsh Harbour,8,BS,1545273109,100,26.54,-77.06,73.98,10.22
Wladyslawowo,90,PL,1545271200,92,54.79,18.4,24.8,10.29
Santa Ines,44,EC,1545273132,98,-0.82,-78.63,44.96,0.72
Kadoma,0,ZW,1545273133,92,-18.34,29.91,60.26,2.73
Yeppoon,40,AU,1545271200,66,-23.13,150.74,86,12.75
Erzin,75,TR,1545272400,87,36.95,36.2,51.8,8.05
The Valley,20,AI,1545271200,69,18.22,-63.06,78.8,12.75
Alice Springs,0,AU,1545271200,20,-23.7,133.88,95,13.87
Rovaniemi,90,FI,1545272400,92,66.5,25.72,21.2,5.82
Vasterhaninge,92,SE,1545270600,93,59.12,18.1,35.6,10.29
Abashiri,20,JP,1545271200,42,44.01,144.25,28.4,4.7
Wajir,0,KE,1545273144,49,1.75,40.07,62.64,4.41
Montreal,90,CA,1545271200,73,45.5,-73.61,26.6,4.7
Bahia Honda,80,CU,1545273147,75,22.9,-83.16,78.03,11.45
Liverpool,75,GB,1545270600,87,53.41,-2.98,42.8,11.41
Santa Cruz de la Palma,0,ES,1545271200,59,28.68,-17.76,62.6,9.17
Ayr,90,GB,1545272400,93,55.46,-4.63,41,5.82
Ahome,5,MX,1545270480,68,25.92,-109.18,64.4,13.87
Lagoa,0,PT,1545271200,93,37.14,-8.45,50,3.36
Malanje,32,AO,1545273158,96,-9.54,16.35,64.49,5.08
Muros,75,ES,1545271200,93,42.77,-9.06,50,6.93
Sawtell,0,AU,1545271200,74,-30.38,153.1,87.8,20.8
Hagere Selam,0,ET,1545273162,87,6.48,38.52,45.81,3.18
Diapaga,0,BF,1545273164,45,12.07,1.79,59.67,8.43
Mazyr,68,BY,1545273165,88,52.05,29.27,12.06,7.65
Oranjemund,0,ZA,1545273167,95,-28.55,16.43,62.1,18.05
Mehamn,8,NO,1545273168,100,71.03,27.85,8.06,4.29
Kushima,75,JP,1545271200,76,31.5,131.29,55.4,5.82
Sistranda,0,NO,1545270600,60,63.73,8.83,39.2,24.16
Inuvik,90,CA,1545271200,77,68.36,-133.71,3.2,4.7
Nioro,20,GM,1545273174,68,13.79,-15.05,66.96,2.84
Bilma,0,NE,1545273175,70,18.69,12.92,46.08,3.4
Shimoda,75,JP,1545271200,44,34.7,138.93,60.8,9.17
Xingyi,0,CN,1545273178,77,24.19,102.82,61.83,3.51
Salmas,90,IR,1545271200,93,38.2,44.77,35.6,6.93
Mezen,56,RU,1545273181,76,65.85,44.24,10.26,4.97
Sioux Lookout,90,CA,1545271200,97,50.1,-91.92,32,3.36
Shasta Lake,1,US,1545270900,71,40.68,-122.36,55.04,5.82
Tsirguliina,90,EE,1545270600,92,57.86,26.19,21.2,5.82
Kattivakkam,40,IN,1545271200,83,13.22,80.32,73.4,3.36
Elena,90,BG,1545271200,100,42.93,25.88,28.4,4.7
Dudinka,0,RU,1545273191,46,69.41,86.18,-28.58,19.84
Aksu,90,KZ,1545271200,85,52.04,76.93,12.2,22.37
Bangkalan,40,ID,1545271200,79,-7.05,112.74,84.2,2.39
Nemuro,20,JP,1545271200,45,43.32,145.57,26.6,9.17
Nyurba,76,RU,1545273197,70,63.29,118.35,-6.12,2.73
Faya,0,SA,1545267600,62,18.39,42.45,51.8,5.82
Gander,90,CA,1545271200,73,48.95,-54.61,24.8,26.4
Jiwani,0,PK,1545273201,92,25.05,61.74,54.45,6.2
Christchurch,80,NZ,1545271200,82,-43.53,172.64,55.4,3.36
Clinton,90,US,1545272520,100,30.87,-91.02,53.96,4.7
Iqaluit,75,CA,1545271200,77,63.75,-68.52,-0.41,4.7
Vardo,1,US,1545272100,64,39.62,-77.74,37.94,5.82
Portland,90,US,1545270780,73,45.52,-122.67,51.98,9.17
Pitogo,68,PH,1545273211,93,13.79,122.09,81.54,21.3
Kajaani,90,FI,1545272400,85,64.22,27.73,21.2,5.82
Santa Luzia,40,BR,1545271200,68,-19.77,-43.85,71.6,2.24
Opuwo,0,NA,1545273215,54,-18.06,13.84,57.6,3.62
Teguise,0,ES,1545271200,59,29.06,-13.56,64.4,10.29
Port-Cartier,5,CA,1545271200,71,50.03,-66.88,8.6,8.05
San Antonio,90,CL,1545271200,87,-33.58,-71.61,57.2,5.82
Pinsk,76,BY,1545273223,88,52.11,26.1,14.94,12.8
Asosa,0,ET,1545273224,67,10.07,34.53,59.67,5.41
Xinan,0,CN,1545271200,78,22.55,113.89,75.2,4.47
Sangar,68,RU,1545273227,54,63.92,127.47,-11.03,11.34
Coihaique,0,CL,1545271200,67,-45.58,-72.07,57.2,1.12
Ailigandi,0,PA,1545273231,84,9.23,-78.02,77.58,4.63
Matagami,8,NG,1545273233,42,9.67,8.4,61.47,8.21
Tual,32,ID,1545273234,100,-5.67,132.75,81.59,7.43
San Carlos del Zulia,48,VE,1545273236,71,9,-71.91,82.13,2.28
Topchikha,75,RU,1545271200,92,52.82,83.12,10.4,17.9
Cuamba,88,MZ,1545273239,98,-14.8,36.54,70.92,3.4
Honiara,64,SB,1545273240,86,-9.43,159.96,82.76,2.51
Tevaitoa,12,PF,1545273241,100,-16.78,-151.5,84.42,5.19
Prince George,90,CA,1545271200,74,53.92,-122.75,33.8,6.93
Biak,88,ID,1545273244,97,-0.91,122.88,80.51,2.17
Mahibadhoo,68,MV,1545273245,100,3.78,72.97,81.54,10
Namatanai,64,PG,1545273247,100,-3.66,152.44,82.44,4.41
San Quintin,0,PH,1545273250,58,17.54,120.52,80.82,3.4
Hope,75,CA,1545271200,93,49.38,-121.43,42.8,1.72
Garowe,0,SO,1545273253,91,8.41,48.48,62.28,4.63
Tessalit,20,ML,1545273254,54,20.2,1.01,50.58,5.3
Pitelino,76,RU,1545273255,80,54.58,41.81,10.8,5.97
Behat,0,IN,1545271200,87,30.17,77.62,44.6,4.7
Beringovskiy,68,RU,1545273258,100,63.05,179.32,3.42,11.45
Vostok,0,RU,1545273260,49,46.45,135.83,4.64,3.18
Warri,20,NG,1545273261,90,5.52,5.75,67.64,3.96
Linxia,12,CN,1545273262,18,35.6,103.21,42.93,5.86
Anadyr,64,RU,1545269400,67,64.73,177.51,-25.61,8.95
Lavrentiya,12,RU,1545273265,100,65.58,-170.99,-1.17,15.03
Nadym,8,RU,1545273267,63,65.53,72.51,-7.7,6.76
Ahipara,80,NZ,1545273270,87,-35.17,173.16,65.93,17.05
Marsa Matruh,40,EG,1545267600,72,31.35,27.25,59,10.29
Hervey Bay,44,AU,1545271200,58,-25.3,152.85,86,8.05
Verkhnyaya Toyma,88,RU,1545273274,84,62.24,45,7.83,4.07
Nishihara,40,JP,1545271200,86,35.74,139.53,53.6,1.12
Taoudenni,0,ML,1545273277,47,22.68,-3.98,48.29,7.76
Torrelavega,75,ES,1545271200,71,43.35,-4.05,50,6.93
Cockburn Town,0,TC,1545273279,99,21.46,-71.14,80.33,13.8
Salinopolis,92,BR,1545273281,100,-0.61,-47.36,79.61,11.79
Tadine,8,NC,1545273282,90,-21.55,167.88,80.69,11.56
Vieste,68,IT,1545273284,100,41.88,16.18,51.98,13.02
Guerrero Negro,0,MX,1545273285,61,27.97,-114.04,58.86,8.43
Victor Harbor,75,AU,1545271200,49,-35.55,138.62,73.4,18.34
Veraval,40,FR,1545271200,93,49.65,0.71,46.4,13.87
Fort Nelson,75,CA,1545271200,84,58.81,-122.69,5,5.82
Bohl-Iggelheim,90,DE,1545272400,93,49.38,8.3,44.96,6.93
Sinnamary,92,GF,1545273292,100,5.38,-52.96,75.96,11.45
Parkersburg,1,US,1545270900,72,39.27,-81.55,37.04,3.51
Bathsheba,75,BB,1545271200,78,13.22,-59.52,78.8,19.46
Guiratinga,8,BR,1545273296,74,-16.35,-53.76,74.21,2.39
San Luis,75,AR,1545268800,47,-33.3,-66.34,75.2,12.75
Wardha,0,IN,1545271200,76,20.75,78.6,55.4,4.18
Leiyang,100,CN,1545273301,100,26.42,112.85,52.65,5.64
Inowroclaw,75,PL,1545271200,86,52.8,18.26,28.4,6.93
Kamenka,80,RU,1545273304,80,53.19,44.05,10.76,5.75
Kalmanka,75,RU,1545271200,92,52.9,83.53,10.4,17.9
Arras,90,FR,1545271200,93,50.29,2.78,42.8,14.99
Kavieng,76,PG,1545273308,100,-2.57,150.8,79.88,3.4
Port Elizabeth,1,US,1545270960,92,39.31,-74.98,39.02,5.08
George Town,75,MY,1545271200,83,5.42,100.33,82.4,2.24
Sarkand,64,KZ,1545273314,97,45.41,79.91,12.6,4.85
Emba,64,CY,1545271200,93,34.81,32.42,53.6,3.36
Zhanakorgan,76,KZ,1545273317,86,43.91,67.25,18.23,3.18
Kamloops,48,CA,1545273318,62,50.68,-120.34,33.57,5.3
Okhotsk,12,RU,1545273319,100,59.36,143.24,0.81,6.87
Grande Prairie,20,CA,1545271200,78,55.17,-118.79,32,9.17
Mount Darwin,92,ZW,1545273322,99,-16.77,31.58,69.66,1.95
Hami,48,CN,1545273324,70,42.84,93.51,15.57,4.74
Sobolevo,80,RU,1545273325,77,54.43,31.9,9.45,3.85
Roquetas de Mar,0,ES,1545271200,71,36.76,-2.61,55.4,8.05
Beaupre,90,CA,1545271200,79,47.04,-70.9,19.4,3.36
Saint Andrews,88,NZ,1545273169,100,-44.53,171.19,51.44,4.52
Sao Filipe,64,CV,1545273333,94,14.9,-24.5,74.61,16.04
Marawi,92,PH,1545273336,84,8,124.29,74.84,2.95
Seoul,0,KR,1545271200,51,37.57,126.98,41,1.12
Atar,0,MR,1545273339,42,20.52,-13.05,56.07,7.09
Nawabganj,75,BD,1545271200,93,23.66,90.19,60.8,5.82
Nalut,20,LY,1545273341,74,31.86,10.98,31.32,2.84
Labuhan,32,ID,1545273343,76,-2.54,115.51,84.15,2.95
Young,36,UY,1545273344,92,-32.7,-57.63,68.04,7.43
Moyale,0,ET,1545273346,33,3.52,39.05,55.26,5.75
Camacha,0,PT,1545271200,87,33.08,-16.33,60.8,4.7
Gloucester,80,GB,1545272400,100,51.87,-2.25,42.8,10.29
Comodoro Rivadavia,0,AR,1545271200,87,-45.87,-67.48,57.2,1.12
Fortuna,0,ES,1545271200,58,38.18,-1.13,53.6,5.82
Zhenhai,90,CN,1545271200,93,29.95,121.71,51.8,4.47
Kysyl-Syr,80,RU,1545273355,83,63.9,122.77,-13.95,7.87
Suntar,76,RU,1545273356,79,62.16,117.65,3.96,5.3
Preobrazheniye,0,RU,1545273357,49,42.9,133.91,26.01,3.74
Chumikan,0,RU,1545273359,51,54.72,135.31,1.17,16.26
Flinders,80,AU,1545271200,58,-34.58,150.85,84.2,11.41
Goma,92,CD,1545273362,100,-1.67,29.23,57.87,0.94
Abalak,8,NE,1545273363,45,15.46,6.28,54.99,11.79
Bulls,56,NZ,1545273367,100,-40.17,175.39,62.91,13.35
Pedernales,76,EC,1545273369,98,0.07,-80.05,72.14,3.74
Juegang,56,CN,1545273370,93,32.31,121.18,54.45,7.76
San Carlos,0,VE,1545273087,53,9.66,-68.59,82.17,9.44
Matara,76,PE,1545273373,80,-13.74,-72.9,46.44,1.61
Kahului,75,US,1545270960,73,20.89,-156.47,73.94,13.87
Naberera,48,TZ,1545273376,92,-4.2,36.93,61.65,3.18
Rancho Palos Verdes,1,US,1545271080,77,33.75,-118.37,64.94,4.7
Tabou,56,CI,1545273379,100,4.42,-7.36,80.78,6.64
Caucaia,20,BR,1545271200,78,-3.73,-38.66,80.6,10.29
Martinsville,1,US,1545272400,97,36.69,-79.87,42.08,2.39
Srednekolymsk,56,RU,1545273383,0,67.46,153.71,-38.48,2.62
Duluth,90,US,1545272160,100,46.77,-92.13,35.6,4.74
Nelson Bay,0,AU,1545271200,62,-32.72,152.14,86,4.7
Xinzhou,0,CN,1545273387,53,38.41,112.73,29.16,1.83
Anlu,92,CN,1545273388,89,31.26,113.68,52.11,3.74
Maceio,40,BR,1545271200,83,-9.67,-35.74,73.4,2.24
Babusnica,40,RS,1545271200,92,43.07,22.41,26.6,8.05
Noumea,0,NC,1545271200,46,-22.28,166.46,93.2,12.75
Treinta y Tres,92,UY,1545273394,97,-33.23,-54.39,65.93,7.65
Nisia Floresta,20,BR,1545271200,78,-6.09,-35.21,77,6.93
Zyryanka,68,RU,1545273397,0,65.73,150.89,-38.52,2.51
Manica,75,MZ,1545267600,94,-18.94,32.88,73.4,0.49
Monmouth,56,GB,1545272400,100,51.81,-2.72,46.4,10.29
Sechura,32,PE,1545273401,78,-5.56,-80.82,73.89,11.79
Diego de Almagro,0,CL,1545273403,71,-26.39,-70.05,58.28,2.17
Narsaq,8,GL,1545273407,53,60.91,-46.05,16.02,7.76
Micheweni,76,TZ,1545273408,100,-4.97,39.83,81.09,8.32
Kumluca,0,TR,1545273410,95,36.37,30.29,29.52,2.06
Poopo,90,BO,1545271200,81,-18.38,-66.97,50,9.17
Kingaroy,0,AU,1545271200,48,-26.54,151.84,86,10.29
Belyy Yar,0,RU,1545271200,72,53.6,91.39,15.8,8.95
Astara,90,AZ,1545271200,100,38.42,48.87,46.4,9.17
Weilmunster,90,DE,1545272400,100,50.43,8.37,39.2,1.12
Turinskaya Sloboda,0,RU,1545273418,57,57.62,64.39,-0.63,7.09
Samarai,24,PG,1545273420,99,-10.62,150.67,86.58,7.43
Ossora,80,RU,1545273421,94,59.24,163.07,29.7,16.15
Richards Bay,92,ZA,1545273423,97,-28.77,32.06,70.2,8.21
Ocampo,88,PH,1545273425,92,13.56,123.37,80.06,17.49
Cascais,20,PT,1545271200,93,38.7,-9.42,53.6,3.36
